view,package,title,license,description,url,authors
Bayesian,profdpm,Profile Dirichlet Process Mixtures,GPL (>= 2),This package facilitates profile inference (inference at<U+000a>the posterior mode) for a class of product partition models<U+000a>(PPM). The Dirichlet process mixture is currently the only<U+000a>available member of this class. These methods search for the<U+000a>maximum posterior (MAP) estimate for the data partition in a<U+000a>PPM.,NA,Matt Shotwell
Bayesian,pscl,Political Science Computational Laboratory,GPL-2,"Bayesian analysis of item-response theory (IRT) models,
roll call analysis; computing highest density regions; maximum
likelihood estimation of zero-inflated and hurdle models for count
data; goodness-of-fit measures for GLMs; data sets used
in writing	and teaching at the Political Science
Computational Laboratory; seats-votes curves.",http://github.com/atahk/pscl,"Simon Jackman, with contributions from
Alex Tahk, Achim Zeileis, Christina Maimone, Jim Fearon and Zoe Meers"
Bayesian,R2BayesX,Estimate Structured Additive Regression Models with 'BayesX',GPL-2 | GPL-3,An R interface to estimate structured additive regression (STAR) models with 'BayesX'.,NA,"Nikolaus Umlauf [aut, cre],
Thomas Kneib [aut],
Stefan Lang [aut],
Achim Zeileis [aut] (0000-0003-0918-3766)"
Bayesian,R2jags,Using R to Run 'JAGS',GPL (>= 2),"Providing wrapper functions to implement Bayesian analysis in JAGS.  Some major features include monitoring convergence of a MCMC model using Rubin and Gelman Rhat statistics, automatically running a MCMC model till it converges, and implementing parallel processing of a MCMC model for multiple chains.",NA,"Yu-Sung Su <suyusung@tsinghua.edu.cn>,
Masanao Yajima <yajima@stat.ucla.edu>,"
Bayesian,R2WinBUGS,Running 'WinBUGS' and 'OpenBUGS' from 'R' / 'S-PLUS',GPL-2,"Invoke a 'BUGS' model in 'OpenBUGS' or 'WinBUGS', a class ""bugs"" for 'BUGS'
results and functions to work with that class.
Function write.model() allows a 'BUGS' model file to be written.
The class and auxiliary functions could be used with other MCMC programs, including 'JAGS'.",NA,"originally written by Andrew Gelman <gelman@stat.columbia.edu>;
changes and packaged by Sibylle Sturtz <sturtz@statistik.tu-dortmund.de>
and Uwe Ligges <ligges@statistik.tu-dortmund.de>.
With considerable contributions by Gregor Gorjanc <gregor.gorjanc@bfro.uni-lj.si>
and Jouni Kerman <kerman@stat.columbia.edu>.
Ported to S-PLUS by Insightful Corp."
Bayesian,ramps,Bayesian Geostatistical Modeling with RAMPS,GPL-2,Bayesian geostatistical modeling of Gaussian processes using a reparameterized and marginalized posterior sampling (RAMPS) algorithm designed to lower autocorrelation in MCMC samples.  Package performance is tuned for large spatial datasets.,http://www.jstatsoft.org/v25/i10,"Brian J Smith [aut, cre],
Jun Yan [aut],
Mary Kathryn Cowles [aut]"
Bayesian,revdbayes,Ratio-of-Uniforms Sampling for Bayesian Extreme Value Analysis,GPL (>= 2),"Provides functions for the Bayesian analysis of extreme value
models.  The 'rust' package <https://cran.r-project.org/package=rust> is
used to simulate a random sample from the required posterior distribution.
The functionality of 'revdbayes' is similar to the 'evdbayes' package
<https://cran.r-project.org/package=evdbayes>, which uses Markov Chain
Monte Carlo ('MCMC') methods for posterior simulation.  Also provided
are functions for making inferences about the extremal index, using
the K-gaps model of Suveges and Davison (2010) <doi:10.1214/09-AOAS292>.
Also provided are d,p,q,r functions for the Generalised Extreme Value
('GEV') and Generalised Pareto ('GP') distributions that deal
appropriately with cases where the shape parameter is very close to zero.",http://github.com/paulnorthrop/revdbayes,"Paul J. Northrop [aut, cre, cph]"
Bayesian,RJaCGH,Reversible Jump MCMC for the Analysis of CGH Arrays,GPL-3,"Bayesian analysis of CGH microarrays fitting Hidden Markov
Chain models. The selection of the number of states is made via
their posterior probability computed by Reversible Jump Markov
Chain Monte Carlo Methods. Also returns probabilistic common
regions for gains/losses.",http://www.r-project.org,"Oscar Rueda <rueda.om@gmail.com> and Ramon Diaz-Uriarte
<rdiaz02@gmail.com>. zlib from Jean-loup Gailly and Mark Adler;
see README. Function ""getHostname.System"" from package R.utils
by Henrik Bengtsson."
Bayesian,rjags,Bayesian Graphical Models using MCMC,GPL (== 2),Interface to the JAGS MCMC library.,http://mcmc-jags.sourceforge.net,"Martyn Plummer [aut, cre],
Alexey Stukalov [ctb],
Matt Denwood [ctb]"
Bayesian,RSGHB,"Functions for Hierarchical Bayesian Estimation: A Flexible
Approach",GPL-3,"Functions for estimating models using a Hierarchical Bayesian (HB) framework. The flexibility comes in allowing the user to specify the likelihood function directly instead of assuming predetermined model structures. Types of models that can be estimated with this code include the family of discrete choice models (Multinomial Logit, Mixed Logit, Nested Logit, Error Components Logit and Latent Class) as well ordered response models like ordered probit and ordered logit. In addition, the package allows for flexibility in specifying parameters as either fixed (non-varying across individuals) or random with continuous distributions. Parameter distributions supported include normal, positive/negative log-normal, positive/negative censored normal, and the Johnson SB distribution. Kenneth Train's Matlab and Gauss code for doing Hierarchical Bayesian estimation has served as the basis for a few of the functions included in this package. These Matlab/Gauss functions have been rewritten to be optimized within R. Considerable code has been added to increase the flexibility and usability of the code base. Train's original Gauss and Matlab code can be found here: <http://elsa.berkeley.edu/Software/abstracts/train1006mxlhb.html> See Train's chapter on HB in Discrete Choice with Simulation here: <http://elsa.berkeley.edu/books/choice2.html>; and his paper on using HB with non-normal distributions here: <http://eml.berkeley.edu//~train/trainsonnier.pdf>. The authors would also like to thank the invaluable contributions of Stephane Hess and the Choice Modelling Centre: <https://cmc.leeds.ac.uk/>.",https://github.com/RSGInc/RSGHB,"Jeff Dumont [aut, cre],
Jeff Keller [aut],
Chase Carpenter [ctb]"
Bayesian,rstan,R Interface to Stan,GPL (>= 3),"User-facing R functions are provided to parse, compile, test,
estimate, and analyze Stan models by accessing the header-only Stan library
provided by the 'StanHeaders' package. The Stan project develops a probabilistic
programming language that implements full Bayesian statistical inference
via Markov Chain Monte Carlo, rough Bayesian inference via 'variational'
approximation, and (optionally penalized) maximum likelihood estimation via
optimization. In all three cases, automatic differentiation is used to quickly
and accurately evaluate gradients without burdening the user with the need to
derive the partial derivatives.","http://discourse.mc-stan.org, http://mc-stan.org","Jiqiang Guo [aut],
Jonah Gabry [aut],
Ben Goodrich [cre, aut],
Daniel Lee [ctb],
Krzysztof Sakrejda [ctb],
Modrak Martin [ctb],
Trustees of Columbia University [cph],
Oleg Sklyar [cph] (R/cxxfunplus.R),
The R Core Team [cph] (R/pairs.R, R/dynGet.R),
Jens Oehlschlaegel-Akiyoshi [cph] (R/pairs.R)"
Bayesian,rstiefel,"Random Orthonormal Matrix Generation and Optimization on the
Stiefel Manifold",GPL-3,"Simulation of random orthonormal matrices from linear and quadratic exponential family distributions on the Stiefel manifold. The most general type of distribution covered is the matrix-variate  Bingham-von Mises-Fisher distribution. Most of the simulation methods are presented in Hoff(2009) ""Simulation of the Matrix Bingham-von Mises-Fisher Distribution, With Applications to Multivariate and Relational Data"" <doi:10.1198/jcgs.2009.07177>. The package also includes functions for optimization on the Stiefel manifold based on algorithms described in Wen and Yin (2013) ""A feasible method for optimization with orthogonality constraints"" <doi:10.1007/s10107-012-0584-1>.",NA,Peter Hoff and Alexander Franks
Bayesian,runjags,"Interface Utilities, Model Templates, Parallel Computing Methods
and Additional Distributions for MCMC Models in JAGS",GPL-2,"User-friendly interface utilities for MCMC models via
Just Another Gibbs Sampler (JAGS), facilitating the use of parallel
(or distributed) processors for multiple chains, automated control
of convergence and sample length diagnostics, and evaluation of the
performance of a model using drop-k validation or against simulated
data. Template model specifications can be generated using a standard
lme4-style formula interface to assist users less familiar with the
BUGS syntax.  A JAGS extension module provides additional distributions
including the Pareto family of distributions, the DuMouchel prior and
the half-Cauchy prior.",http://runjags.sourceforge.net,"Matthew Denwood [aut, cre],
Martyn Plummer [cph] (Copyright holder of the code in
/src/distributions/jags, src/distributions/DPar1.*, configure.ac,
and original copyright holder of some modified code where
indicated)"
Bayesian,Runuran,R Interface to the 'UNU.RAN' Random Variate Generators,GPL (>= 2),"Interface to the 'UNU.RAN' library for Universal Non-Uniform RANdom variate generators.
Thus it allows to build non-uniform random number generators from quite arbitrary
distributions. In particular, it provides an algorithm for fast numerical inversion
for distribution with given density function.
In addition, the package contains densities, distribution functions and quantiles
from a couple of distributions.",http://statmath.wu.ac.at/unuran/,"Josef Leydold [aut, cre],
Wolfgang H""ormann [aut]"
Bayesian,RxCEcolInf,"'R x C Ecological Inference With Optional Incorporation of
Survey Information'",GPL,"Fits the R x C inference model described in Greiner and
Quinn (2009).  Allows incorporation of survey results.",NA,"D. James Greiner, Paul Baines, and Kevin M. Quinn"
Bayesian,SamplerCompare,A Framework for Comparing the Performance of MCMC Samplers,GPL-2,"A framework for running sets of MCMC samplers on sets of distributions with a variety of tuning parameters, along with plotting functions to visualize the results of those simulations.",NA,"Madeleine Thompson, except dchud.f and dchdd.f, which were written by G. W. Stewart."
Bayesian,SampleSizeMeans,Sample size calculations for normal means,GPL (>= 2),"A set of R functions for calculating sample size
requirements using three different Bayesian criteria in the
context of designing an experiment to estimate a normal mean or
the difference between two normal means.  Functions for
calculation of required sample sizes for the Average Length
Criterion, the Average Coverage Criterion and the Worst Outcome
Criterion in the context of normal means are provided.
Functions for both the fully Bayesian and the mixed
Bayesian/likelihood approaches are provided.",NA,"Lawrence Joseph <lawrence.joseph@mcgill.ca> and Patrick Belisle
<pbelisle@epimgh.mcgill.ca>"
Bayesian,SampleSizeProportions,"Calculating sample size requirements when estimating the
difference between two binomial proportions",GPL (>= 2),"A set of R functions for calculating sample size
requirements using three different Bayesian criteria in the
context of designing an experiment to estimate the difference
between two binomial proportions. Functions for calculation of
required sample sizes for the Average Length Criterion, the
Average Coverage Criterion and the Worst Outcome Criterion in
the context of binomial observations are provided. In all
cases, estimation of the difference between two binomial
proportions is considered. Functions for both the fully
Bayesian and the mixed Bayesian/likelihood approaches are
provided.",NA,"Lawrence Joseph <lawrence.joseph@mcgill.ca>, Roxane du Berger
and Patrick Belisle <pbelisle@epimgh.mcgill.ca>"
Bayesian,sbgcop,"Semiparametric Bayesian Gaussian Copula Estimation and
Imputation",GPL (>= 2),"Estimation and inference for parameters in a Gaussian copula model,
treating the univariate marginal distributions as nuisance
parameters as described in Hoff (2007) <doi:10.1214/07-AOAS107>.
This package also provides a
semiparametric imputation procedure for missing multivariate
data.",http://pdhoff.github.io/,Peter Hoff
Bayesian,SimpleTable,"Bayesian Inference and Sensitivity Analysis for Causal Effects
from 2 x 2 and 2 x 2 x K Tables in the Presence of Unmeasured
Confounding",GPL-2,"SimpleTable provides a series of methods to conduct
Bayesian inference and sensitivity analysis for causal effects
from 2 x 2 and 2 x 2 x K tables when unmeasured confounding is
present or suspected.",NA,"Kevin M. Quinn <kevin_quinn@harvard.edu>,"
Bayesian,sna,Tools for Social Network Analysis,GPL (>= 2),"A range of tools for social network analysis, including node and graph-level indices, structural distance and covariance methods, structural equivalence detection, network regression, random graph generation, and 2D/3D network visualization.",http://www.statnet.org,"Carter T. Butts [aut, cre, cph]"
Bayesian,spBayes,Univariate and Multivariate Spatial-Temporal Modeling,GPL (>= 2),"Fits univariate and multivariate spatio-temporal
random effects models for point-referenced data using Markov chain Monte Carlo (MCMC). Details are given in Finley, Banerjee, and Gelfand (2015) <doi:10.18637/jss.v063.i13> and Finley, Banerjee, and Cook (2014) <doi:10.1111/2041-210X.12189>.",http://blue.for.msu.edu/software.html,"Andrew Finley [aut, cre],
Sudipto Banerjee [aut]"
Bayesian,spikeslab,Prediction and variable selection using spike and slab<U+000a>regression,GPL (>= 3),Spike and slab for prediction and variable selection in<U+000a>linear regression models. Uses a generalized elastic net for<U+000a>variable selection.,http://web.ccs.miami.edu/~hishwaran http://www.kogalur.com,Hemant Ishwaran <hemant.ishwaran@gmail.com>
Bayesian,spikeSlabGAM,"Bayesian Variable Selection and Model Choice for Generalized
Additive Mixed Models",CC BY-NC-SA 4.0,"Bayesian variable selection, model choice, and regularized
estimation for (spatial) generalized additive mixed regression models
via stochastic search variable selection with spike-and-slab priors.",https://github.com/fabian-s/spikeSlabGAM,"Fabian Scheipl [aut, cre],
Bettina Gruen [ctb]"
Bayesian,spTimer,Spatio-Temporal Bayesian Modelling,GPL (>= 2),"Fits, spatially predicts and temporally forecasts large amounts of space-time data using  [1] Bayesian Gaussian Process (GP) Models, [2] Bayesian Auto-Regressive (AR) Models, and [3] Bayesian Gaussian Predictive Processes (GPP) based AR Models for spatio-temporal big-n problems. Bakar and Sahu (2015) <doi:10.18637/jss.v063.i15>.",NA,K. Shuvo Bakar & Sujit K. Sahu
Bayesian,ssgraph,Bayesian Graphical Estimation using Spike-and-Slab Priors,GPL (>= 2),"Bayesian estimation for undirected graphical models using spike-and-slab priors. The package handles continuous, discrete, and mixed data. To speed up the computations, the computationally intensive tasks of the package are implemented in C++ in parallel using OpenMP.",https://www.uva.nl/profile/a.mohammadi,Reza Mohammadi <https://orcid.org/0000-0001-9538-0648>
Bayesian,ssMousetrack,"Bayesian State-Space Modeling of Mouse-Tracking Experiments via
Stan",GPL (>= 3),"Estimates previously compiled state-space modeling for mouse-tracking experiments using the 'rstan' package, which provides the R interface to the Stan C++ library for Bayesian estimation.",NA,"Antonio Calcagnì, Massimiliano Pastore"
Bayesian,stochvol,"Efficient Bayesian Inference for Stochastic Volatility (SV)
Models",GPL (>= 2),Efficient algorithms for fully Bayesian estimation of stochastic volatility (SV) models via Markov chain Monte Carlo (MCMC) methods. Methodological details are given in Kastner and Frühwirth-Schnatter (2014) <doi:10.1016/j.csda.2013.01.002>; the most common use cases are described in Kastner (2016) <doi:10.18637/jss.v069.i05>. Also incorporates SV with leverage.,NA,"Gregor Kastner [aut] (<https://orcid.org/0000-0002-8237-8271>),
Darjus Hosszejni [aut, cre] (<https://orcid.org/0000-0002-3803-691X>)"
Bayesian,tgp,Bayesian Treed Gaussian Process Models,LGPL,"Bayesian nonstationary, semiparametric nonlinear regression
and design by treed Gaussian processes (GPs) with jumps to the limiting
linear model (LLM).  Special cases also implemented include Bayesian
linear models, CART, treed linear models, stationary separable and
isotropic GPs, and GP single-index models.  Provides 1-d and 2-d plotting functions
(with projection and slice capabilities) and tree drawing, designed for
visualization of tgp-class output.  Sensitivity analysis and
multi-resolution models are supported. Sequential experimental
design and adaptive sampling functions are also provided, including ALM,
ALC, and expected improvement.  The latter supports derivative-free
optimization of noisy black-box functions.",http://bobby.gramacy.com/r_packages/tgp,Robert B. Gramacy <rbgramacy@chicagobooth.edu> and Matt A. Taddy <taddy@chicagobooth.edu>
Bayesian,zic,Bayesian Inference for Zero-Inflated Count Models,GPL (>= 2),"Provides MCMC algorithms for the analysis of
zero-inflated count models. The case of stochastic search
variable selection (SVS) is also considered.  All MCMC samplers
are coded in C++ for improved efficiency. A data set
considering the demand for health care is provided.",NA,Markus Jochmann <markus.jochmann@ncl.ac.uk>
ChemPhys,ALS,"Multivariate Curve Resolution Alternating Least Squares
(MCR-ALS)",GPL (>= 2),"Alternating least squares is often used to resolve
components contributing to data with a bilinear structure; the
basic technique may be extended to alternating constrained
least squares.  Commonly applied constraints include
unimodality, non-negativity, and normalization of components.
Several data matrices may be decomposed simultaneously by
assuming that one of the two matrices in the bilinear
decomposition is shared between datasets.",NA,Katharine M. Mullen
ChemPhys,AnalyzeFMRI,"Functions for Analysis of fMRI Datasets Stored in the ANALYZE or
NIFTI Format",GPL (>= 2),"Functions for I/O, visualisation and analysis of functional Magnetic Resonance Imaging (fMRI) datasets stored in the ANALYZE or NIFTI format. Note that the latest version of XQuartz seems to be necessary under MacOS.",NA,"Pierre Lafaye De Micheaux [aut, cre],
Jonathan L Marchini [aut]"
ChemPhys,AquaEnv,"Integrated Development Toolbox for Aquatic Chemical Model
Generation",GPL (>= 2),"Toolbox for the experimental aquatic chemist, focused on
acidification and CO2 air-water exchange. It contains all elements to
model the pH, the related CO2 air-water exchange, and
aquatic acid-base chemistry for an arbitrary marine,
estuarine or freshwater system. It contains a suite of tools for
sensitivity analysis, visualisation, modelling of chemical batches,
and can be used to build dynamic models of aquatic systems.
As from version 1.0-4, it also contains functions to calculate
the buffer factors.",NA,"Andreas F. Hofmann, Karline Soetaert, Filip J.R. Meysman,
Mathilde Hagens"
ChemPhys,astro,"Astronomy Functions, Tools and Routines",GPL (>= 2),"The astro package provides a series of functions, tools and routines in everyday use within astronomy. Broadly speaking, one may group these functions into 7 main areas, namely: cosmology, FITS file manipulation, the Sersic function, plotting, data manipulation, statistics and general convenience functions and scripting tools.",NA,Lee Kelvin
ChemPhys,astrochron,A Computational Tool for Astrochronology,GPL-3,"Routines for astrochronologic testing, astronomical time scale construction, and time series analysis. Also included are a range of statistical analysis and modeling routines that are relevant to time scale development and paleoclimate analysis.",NA,"Stephen Meyers [aut,cre], Alberto Malinverno [ctb], Linda Hinnov [ctb], Christian Zeeden [ctb], Vincent Moron [ctb]"
ChemPhys,astrodatR,Astronomical Data,GPL,"A collection of 19 datasets from contemporary astronomical research.  They are described the textbook `Modern Statistical Methods for Astronomy with R Applications' by Eric D. Feigelson and G. Jogesh Babu (Cambridge University Press, 2012, Appendix C) or on the website of Penn State's Center for Astrostatistics (http://astrostatistics.psu.edu/datasets).  These datasets can be used to exercise methodology involving: density estimation; heteroscedastic measurement errors; contingency tables; two-sample hypothesis tests; spatial point processes; nonlinear regression; mixture models; censoring and truncation; multivariate analysis; classification and clustering; inhomogeneous Poisson processes; periodic and stochastic time series analysis.",NA,Eric D. Feigelson
ChemPhys,astroFns,"Astronomy: time and position functions, misc. utilities",GPL (>= 2),"Miscellaneous astronomy functions, utilities, and data.",NA,Andrew Harris
ChemPhys,astrolibR,Astronomy Users Library,GPL,"Several dozen low-level utilities and codes from the Interactive Data Language (IDL) Astronomy Users Library (http://idlastro.gsfc.nasa.gov) are implemented in R.  They treat: time, coordinate and proper motion transformations; terrestrial precession and nutation, atmospheric refraction and aberration, barycentric corrections, and related effects; utilities for astrometry, photometry, and spectroscopy; and utilities for planetary, stellar, Galactic, and extragalactic science.",NA,Arnab Chakraborty and Eric D. Feigelson
ChemPhys,ATmet,Advanced Tools for Metrology,GPL-3,"This package provides functions for smart sampling and sensitivity analysis for metrology applications, including computationally expensive problems.",NA,"S.Demeyer, A.Allard"
ChemPhys,Bchron,"Radiocarbon Dating, Age-Depth Modelling, Relative Sea Level Rate
Estimation, and Non-Parametric Phase Modelling",GPL (>= 2),"Enables quick calibration of radiocarbon dates under various
calibration curves (including user generated ones); age-depth modelling
as per the algorithm of Haslett and Parnell (2008) <DOI:10.1111/j.1467-9876.2008.00623.x>; Relative sea level
rate estimation incorporating time uncertainty in polynomial regression
models (Parnell and Gehrels 2015) <DOI:10.1002/9781118452547.ch32>; non-parametric phase modelling via
Gaussian mixtures as a means to determine the activity of a site
(and as an alternative to the Oxcal function SUM; currently
unpublished), and reverse calibration of dates from calibrated into
un-calibrated years (also unpublished).",https://github.com/andrewcparnell/Bchron,Andrew Parnell
ChemPhys,BioMark,Find Biomarkers in Two-Class Discrimination Problems,GPL (>= 2),"Variable selection methods are provided for several classification methods: the lasso/elastic net, PCLDA, PLSDA, and several t-tests. Two approaches for selecting cutoffs can be used, one based on the stability of model coefficients under perturbation, and the other on higher criticism.",NA,"Ron Wehrens, Pietro Franceschi"
ChemPhys,bvls,The Stark-Parker algorithm for bounded-variable least squares,GPL (>= 2),An R interface to the Stark-Parker implementation of an<U+000a>algorithm for bounded-variable least squares,NA,Katharine M. Mullen
ChemPhys,celestial,"Collection of Common Astronomical Conversion Routines and
Functions",GPL-3,"Contains a number of common astronomy conversion routines, particularly the HMS and degrees schemes, which can be fiddly to convert between on mass due to the textural nature of the former. It allows users to coordinate match datasets quickly. It also contains functions for various cosmological calculations.",NA,Aaron Robotham
ChemPhys,chemCal,Calibration Functions for Analytical Chemistry,GPL (>= 2),"Simple functions for plotting linear
calibration functions and estimating standard errors for measurements
according to the Handbook of Chemometrics and Qualimetrics: Part A
by Massart et al. There are also functions estimating the limit
of detection (LOD) and limit of quantification (LOQ).
The functions work on model objects from - optionally weighted - linear
regression (lm) or robust linear regression ('rlm' from the 'MASS' package).","https://pkgdown.jrwb.de/chemCal,
https://cgit.jrwb.de/chemCal/about","Johannes Ranke [aut, cre, cph]
(<https://orcid.org/0000-0003-4371-6538>)"
ChemPhys,chemometrics,Multivariate Statistical Analysis in Chemometrics,GPL (>= 3),"R companion to the book ""Introduction to Multivariate Statistical Analysis in Chemometrics"" written by K. Varmuza and P. Filzmoser (2009).",http://www.statistik.tuwien.ac.at/public/filz/,Peter Filzmoser and Kurt Varmuza
ChemPhys,ChemometricsWithR,"Chemometrics with R - Multivariate Data Analysis in the Natural
Sciences and Life Sciences",GPL (>= 2),"Functions and scripts used in the book ""Chemometrics with R - Multivariate Data Analysis in the Natural Sciences and Life Sciences"" by Ron Wehrens, Springer (2011). Data used in the package are available from github.",https://github.com/rwehrens/CWR,Ron Wehrens
ChemPhys,ChemoSpec,Exploratory Chemometrics for Spectroscopy,GPL-3,"A collection of functions for top-down exploratory data analysis
of spectral data including nuclear magnetic resonance (NMR), infrared (IR),
Raman, X-ray fluorescence (XRF) and other similar types of spectroscopy.
Includes functions for plotting and inspecting spectra, peak alignment,
hierarchical cluster analysis (HCA), principal components analysis (PCA) and
model-based clustering. Robust methods appropriate for this type of
high-dimensional data are available. ChemoSpec is designed for structured
experiments, such as metabolomics investigations, where the samples fall into
treatment and control groups. Graphical output is formatted consistently for
publication quality plots. ChemoSpec is intended to be very user friendly and
to help you get usable results quickly. A vignette covering typical operations
is available.",https://bryanhanson.github.io/ChemoSpec/,"Bryan A. Hanson [aut, cre] (<https://orcid.org/0000-0003-3536-8246>),
Mike Bostock [cph, ctb] (author of the d3.js library used by
plotSpectraJS, http://d3js.org),
Matt Keinsley [ctb] (author of initial AOV-PCA code)"
ChemPhys,ChemoSpec2D,Exploratory Chemometrics for 2D Spectroscopy,GPL-3,"A collection of functions for exploratory chemometrics of 2D spectroscopic data sets such as COSY (correlated spectroscopy) and HSQC (heteronuclear single quantum coherence) 2D NMR (nuclear magnetic resonance) spectra. 'ChemoSpec2D' deploys methods aimed primarily at classification of samples and the identification of spectral features which are important in distinguishing samples from each other. Each 2D spectrum (a matrix) is treated as the unit of observation, and thus the physical sample in the spectrometer corresponds to the  sample from a statistical perspective.  In addition to chemometric tools, a few tools are provided for plotting 2D spectra, but these are not intended to replace the functionality typically available on the spectrometer. 'ChemoSpec2D' takes many of its cues from 'ChemoSpec' and tries to create consistent graphical output and to be very user friendly.",https://github.com/bryanhanson/ChemoSpec2D,"Bryan A. Hanson [aut, cre] (<https://orcid.org/0000-0003-3536-8246>)"
ChemPhys,CHNOSZ,Thermodynamic Calculations and Diagrams for Geochemistry,GPL (>= 2),"An integrated set of tools for thermodynamic calculations in
aqueous geochemistry and geobiochemistry. Functions are provided for writing
balanced reactions to form species from user-selected basis species and for
calculating the standard molal properties of species and reactions, including
the standard Gibbs energy and equilibrium constant. Calculations of the
non-equilibrium chemical affinity and equilibrium chemical activity of species
can be portrayed on diagrams as a function of temperature, pressure, or
activity of basis species; in two dimensions, this gives a maximum affinity or
predominance diagram. The diagrams have formatted chemical formulas and axis
labels, and water stability limits can be added to Eh-pH, oxygen fugacity-
temperature, and other diagrams with a redox variable. The package has been
developed to handle common calculations in aqueous geochemistry, such as
solubility due to complexation of metal ions, mineral buffers of redox or pH,
and changing the basis species across a diagram (""mosaic diagrams""). CHNOSZ
also has unique capabilities for comparing the compositional and thermodynamic
properties of different proteins.","http://www.chnosz.net/, http://chnosz.r-forge.r-project.org/","Jeffrey Dick [aut, cre] (<https://orcid.org/0000-0002-0687-5890>),
R Core Team [ctb] (code derived from R's pmax())"
ChemPhys,clustvarsel,Variable Selection for Gaussian Model-Based Clustering,GPL (>= 2),"Variable selection for Gaussian model-based clustering as implemented in the 'mclust' package. The methodology allows to find the (locally) optimal subset of variables in a data set that have group/cluster information. A greedy or headlong search can be used, either in a forward-backward or backward-forward direction, with or without sub-sampling at the hierarchical clustering stage for starting 'mclust' models. By default the algorithm uses a sequential search, but parallelisation is also available.",NA,"Nema Dean [aut] (<https://orcid.org/0000-0002-5080-2517>),
Adrian E. Raftery [aut],
Luca Scrucca [aut, cre] (<https://orcid.org/0000-0003-3826-0484>)"
ChemPhys,compositions,Compositional Data Analysis,GPL (>= 2),"Provides functions for the consistent analysis of compositional
data (e.g. portions of substances) and positive numbers (e.g. concentrations)
in the way proposed by J. Aitchison and V. Pawlowsky-Glahn.",http://www.stat.boogaart.de/compositions,"K. Gerald van den Boogaart <boogaart@hzdr.de>,
Raimon Tolosana-Delgado, Matevz Bren"
ChemPhys,constants,"Reference on Constants, Units and Uncertainty",MIT + file LICENSE,"CODATA internationally recommended values of the fundamental physical
constants, provided as symbols for direct use within the R language. Optionally,
the values with errors and/or the values with units are also provided if the
'errors' and/or the 'units' packages are installed. The Committee on Data
for Science and Technology (CODATA) is an interdisciplinary committee of the
International Council for Science which periodically provides the internationally
accepted set of values of the fundamental physical constants. This package
contains the ""2014 CODATA"" version, published on 25 June 2015:
Mohr, P. J., Newell, D. B. and Taylor, B. N. (2016)
<DOI:10.1103/RevModPhys.88.035009>, <DOI:10.1063/1.4954402>.",https://github.com/r-quantities/constants,"Iñaki Ucar [aut, cph, cre]"
ChemPhys,cosmoFns,"Functions for cosmological distances, times, luminosities, etc.",GPL (>= 2),"Package encapsulates standard expressions for distances,<U+000a>times, luminosities, and other quantities useful in<U+000a>observational cosmology, including molecular line observations.<U+000a>Currently coded for a flat universe only.",NA,Andrew Harris
ChemPhys,CRAC,Cosmology R Analysis Code,GPL (>= 2),"R functions for cosmological research.<U+000a>The main functions are similar to the python library, cosmolopy.",NA,Jiayi Liu
ChemPhys,dielectric,"Defines some physical constants and dielectric functions<U+000a>commonly used in optics, plasmonics.",GPL-3,"Physical constants. Gold, silver and glass permittivities,<U+000a>together with spline interpolation functions.",NA,"Baptiste Auguie [aut, cre] (the original data have their original<U+000a>source listed in the help file.)"
ChemPhys,drc,Analysis of Dose-Response Curves,GPL-2 | file LICENCE,Analysis of dose-response data is made available through a suite of flexible and versatile model fitting and after-fitting functions.,"http://www.r-project.org, http://www.bioassay.dk","Christian Ritz <ritz@bioassay.dk>, Jens C. Strebig <streibig@bioassay.dk>"
ChemPhys,eChem,Simulations for Electrochemistry Experiments,GPL-2,"Simulates cyclic voltammetry, linear-sweep voltammetry
(both with and without stirring of the solution), and single-pulse
and double-pulse chronoamperometry and chronocoulometry
experiments using the implicit finite difference method outlined in
Gosser (1993, ISBN: 9781560810261) and in Brown (2015)
<doi:10.1021/acs.jchemed.5b00225>. Additional functions provide
ways to display and to examine the results of these simulations.
The primary purpose of this package is to provide tools for
use in courses in analytical chemistry.",https://github.com/dtharvey/eChem,David Harvey
ChemPhys,EEM,"Read and Preprocess Fluorescence Excitation-Emission Matrix
(EEM) Data",GPL-3,Read raw EEM data and prepares them for further analysis.,https://github.com/chengvt/EEM,Vipavee Trivittayasil
ChemPhys,elasticnet,Elastic-Net for Sparse Estimation and Sparse PCA,GPL (>= 2),"Provides functions for fitting the entire
solution path of the Elastic-Net and also provides functions
for estimating sparse Principal Components. The Lasso solution
paths can be computed by the same function. First version:
2005-10.",http://www.stat.umn.edu/~hzou,"Hui Zou <hzou@stat.umn.edu> and Trevor Hastie
<hastie@stanford.edu>"
ChemPhys,enpls,Ensemble Partial Least Squares Regression,GPL-3 | file LICENSE,"An algorithmic framework for measuring feature importance,
outlier detection, model applicability domain evaluation,
and ensemble predictive modeling with (sparse)
partial least squares regressions.","https://nanx.me/enpls/, https://github.com/nanxstats/enpls","Nan Xiao [aut, cre] (<https://orcid.org/0000-0002-0250-5673>),
Dong-Sheng Cao [aut],
Miao-Zhu Li [aut],
Qing-Song Xu [aut]"
